"Name","has.star","Title.type","Genre","Run.time","Top.cast","MOVIEmeter","IMDb.Rating","Production.Co.","Year","numvotes","Country","Language","Rating","Genres"
"Nashville",0,"Movie","Comedy, Drama, Music",160,"David Arkin, Barbara Baxley, Ned Beatty",8267,7.7,"ABC Entertainment",1975,78045,"US","English",1,"Light"
"No Country for Old Men",1,"Movie","Crime, Drama, Thriller",122,"Tommy Lee Jones, Javier Bardem, Josh Brolin",429,8.1,"Paramount Vantage",2007,12935,"US","English",4,"Drama"
"North by Northwest",1,"Movie","Adventure, Mystery, Thriller",136,"Cary Grant, Eva Marie Saint, James Mason",2484,8.3,"Metro-Goldwyn-Mayer (MGM)",1959,600100,"US","English",3,"Light"
"Notorious",1,"Movie","Drama, Film-Noir, Romance",102,"Cary Grant, Ingrid Bergman, Claude Rains",6758,7.9,"RKO Radio Pictures",1946,337850,"US","English",3,"Horror/Thriller"
"O Brother, Where Art Thou?",1,"Movie","Adventure, Comedy, Crime",107,"George Clooney, John Turturro, Tim Blake Nelson",1941,7.7,"Touchstone Pictures",2000,393578,"US","English",1,"Light"
"Obsession",0,"Movie","Drama, Mystery, Thriller",98,"Cliff Robertson, Geneviève Bujold, John Lithgow",16002,6.7,"Columbia Pictures",1976,132474,"US","English",3,"Horror/Thriller"
"Oggi, domani, dopodomani",1,"Movie","Comedy",85,"Marcello Mastroianni, Catherine Spaak, Virna Lisi",93177,6.2,"Compagnia Cinematografica Champion",1965,326812,"IT","Italian",2,"Light"
"On the Edge",0,"Movie","Drama",85,"Paul Hickey, Camille O'Sullivan, Cillian Murphy",29994,7,"Blank Page Productions",2001,51635,"IR","English",1,"Drama"
"On the Rocks",1,"Movie","Comedy, Drama, Romance",96,"Bill Murray, Rashida Jones, Marlon Wayans",2752,6.5,"A24",2020,168173,"US","English",1,"Romance"
"Once Upon a Time in America",1,"Movie","Crime, Drama",229,"Robert De Niro, James Woods, Elizabeth McGovern",1025,8.4,"The Ladd Company",1984,397060,"US","English",4,"Drama"
